id,unicode,X,Y,population,travellers,visitors
1,1001,-439,589,17575,8795,8780
2,1002,-437,589,4304,2151,2153
3,1003,-439,590,3942,1974,1968
4,1004,-443,589,7276,3647,3629
5,1005,-444,592,6110,3059,3051
6,1006,-440,588,2546,1277,1269
7,1007,-442,605,2200,1101,1099
8,1008,-444,605,6334,3193,3141
9,1009,-436,590,3516,1750,1766
10,1010,-440,586,1880,937,943
11,1011,-445,593,11469,5731,5738
12,1012,-447,592,2743,1371,1372
13,1013,-443,595,6547,3277,3270
14,1014,-443,600,5174,2584,2590
15,1015,-443,586,4253,2127,2126
16,1016,-450,596,10225,5104,5121
17,1017,-451,596,6358,3187,3171
18,1018,-449,606,3783,1888,1895
19,1019,-445,606,5007,2492,2515
20,1020,-441,595,5191,2594,2597
21,1021,-443,590,11691,5834,5857
22,1022,-444,586,1110,556,554
23,1023,-439,588,6264,3129,3135
24,1024,-442,604,2404,1208,1196
25,1025,-444,604,5302,2642,2660
26,1026,-432,583,8233,4116,4117
27,1027,-444,597,3445,1726,1719
28,1028,-446,598,4396,2204,2192
29,1029,-449,594,8330,4146,4184
30,1030,-444,603,10309,5160,5149
31,1031,-446,593,4596,2300,2296
32,1032,-440,601,6661,3334,3327
33,1033,-450,592,7509,3751,3758
34,1034,-451,595,6495,3256,3239
35,1035,-443,601,4843,2413,2430
36,1036,-442,601,9412,4710,4702
37,1037,-438,591,4440,2218,2222
38,1038,-437,593,2581,1283,1298
39,1039,-440,590,12058,6043,6015
40,1040,-451,594,13497,6756,6741
41,1041,-450,595,8007,4005,4002
42,1042,-450,606,4687,2350,2337
43,1043,-443,591,3043,1513,1530
44,1044,-447,595,4942,2469,2473
45,1045,-440,603,1200,596,604
46,1046,-435,600,531,270,261
47,1047,-450,594,2814,1412,1402
48,1048,-451,592,4644,2328,2316
49,1049,-438,588,7155,3583,3572
50,1050,-445,592,12873,6451,6422
51,1051,-442,589,6253,3119,3134
52,1052,-434,583,4124,2040,2084
53,1053,-452,595,7852,3916,3936
54,1054,-455,597,1765,902,863
55,1055,-442,597,5598,2800,2798
56,1056,-444,590,15717,7845,7872
57,1057,-448,596,2191,1087,1104
58,1058,-446,605,5188,2590,2598
59,1059,-442,590,12123,6075,6048
60,1060,-439,596,8035,4013,4022
61,1061,-426,582,841,422,419
62,1062,-445,590,7334,3665,3669
63,1063,-449,593,7579,3800,3779
64,1064,-445,596,15815,7883,7932
65,1065,-453,593,13132,6564,6568
66,1066,-443,603,5335,2671,2664
67,1067,-455,593,8956,4488,4468
68,1068,-445,603,10471,5233,5238
69,1069,-444,600,3047,1522,1525
70,1070,-448,605,3218,1587,1631
71,1071,-443,594,7118,3558,3560
72,1072,-445,598,3177,1586,1591
73,1073,-453,594,3211,1596,1615
74,1074,-441,589,12406,6193,6213
75,1075,-444,601,6665,3325,3340
76,1076,-445,604,5527,2769,2758
77,1077,-453,592,3203,1598,1605
78,1078,-438,590,2738,1373,1365
79,1079,-440,595,10739,5379,5360
80,1080,-443,593,5868,2944,2924
81,1081,-446,597,876,430,446
82,1082,-449,596,3659,1811,1848
83,1083,-435,585,3862,1927,1935
84,1084,-438,596,4077,2040,2037
85,1085,-441,603,2377,1188,1189
86,1086,-453,599,1545,778,767
87,1087,-445,595,15478,7689,7789
88,1088,-437,594,1225,612,613
89,1089,-442,588,1113,555,558
90,1090,-442,598,8144,4072,4072
91,1091,-439,586,1971,990,981
92,1092,-442,600,4910,2450,2460
93,1093,-451,593,11411,5697,5714
94,1094,-454,596,8902,4410,4492
95,1095,-444,595,5219,2610,2609
96,1096,-438,595,1416,709,707
97,1097,-440,600,3850,1934,1916
98,1098,-446,595,9229,4635,4594
99,1099,-444,588,3911,1963,1948
100,1100,-444,591,7578,3798,3780
101,1101,-447,591,2029,1020,1009
102,1102,-441,596,1516,764,752
103,1103,-444,587,2358,1187,1171
104,1104,-442,594,3086,1541,1545
105,1105,-443,602,7383,3699,3684
106,1106,-445,591,4968,2485,2483
107,1107,-444,594,4375,2192,2183
108,1108,-452,592,8431,4209,4222
109,1109,-442,591,2380,1197,1183
110,1110,-440,602,525,264,261
111,1111,-441,593,1726,863,863
112,1112,-455,592,5604,2796,2808
113,1113,-452,594,4050,2023,2027
114,1114,-444,593,3462,1726,1736
115,1115,-446,596,17731,8854,8877
116,1116,-453,595,6652,3335,3317
117,1117,-451,599,1235,619,616
118,1118,-444,602,6972,3483,3489
119,1119,-441,594,814,413,401
120,1120,-446,592,1463,732,731
121,1121,-430,583,7021,3534,3487
122,1122,-455,594,2622,1298,1324
123,1123,-447,605,1255,630,625
124,1124,-443,587,2772,1382,1390
125,1125,-440,589,13130,6565,6565
126,1126,-446,594,6920,3449,3471
127,1127,-454,594,4303,2140,2163
128,1128,-440,597,3038,1512,1526
129,1129,-440,598,4116,2065,2051
130,1130,-437,597,2343,1173,1170
131,1131,-448,593,4962,2484,2478
132,1132,-441,599,4473,2243,2230
133,1133,-445,594,6578,3293,3285
134,1134,-443,592,1973,986,987
135,1135,-449,591,2277,1140,1137
136,1136,-449,605,2145,1073,1072
137,1137,-436,595,1503,746,757
138,1138,-443,585,2016,1011,1005
139,1139,-439,585,11424,5704,5720
140,1140,-448,590,2220,1106,1114
141,1141,-433,584,7240,3644,3596
142,1142,-437,591,8095,4066,4029
143,1143,-439,599,1857,930,927
144,1144,-449,592,4531,2268,2263
145,1145,-439,597,8559,4281,4278
146,1146,-438,592,1551,776,775
147,1147,-437,590,6232,3111,3121
148,1148,-440,587,5185,2596,2589
149,1149,-437,584,4798,2402,2396
150,1150,-452,586,209,109,100
151,1151,-446,604,7914,3946,3968
152,1152,-436,598,1920,946,974
153,1153,-454,595,5849,2927,2922
154,1154,-453,597,5224,2617,2607
155,1155,-436,585,4952,2479,2473
156,1156,-452,593,3169,1580,1589
157,1157,-454,598,3621,1818,1803
158,1158,-438,589,4560,2285,2275
159,1159,-439,595,5159,2573,2586
160,1160,-446,602,2341,1170,1171
161,1161,-440,585,5139,2575,2564
162,1162,-443,599,4319,2165,2154
163,1163,-435,584,421,212,209
164,1164,-450,597,3321,1653,1668
165,1165,-448,594,2277,1132,1145
166,1166,-449,595,2316,1156,1160
167,1167,-441,588,3562,1775,1787
168,1168,-443,597,7825,3899,3926
169,1169,-441,585,4366,2176,2190
170,1170,-436,584,4683,2344,2339
171,1171,-444,606,2689,1341,1348
172,1172,-451,598,3951,1989,1962
173,1173,-441,606,1525,765,760
174,1174,-439,584,2018,1008,1010
175,1175,-441,601,7211,3609,3602
176,1176,-445,599,2532,1263,1269
177,1177,-450,593,4076,2039,2037
178,1178,-454,593,3995,2002,1993
179,1179,-441,602,3302,1656,1646
180,1180,-445,600,1549,780,769
181,1181,-451,597,2469,1238,1231
182,1182,-438,585,5231,2616,2615
183,1183,-441,597,3405,1703,1702
184,1184,-454,592,4503,2253,2250
185,1185,-442,593,348,174,174
186,1186,-440,591,2214,1106,1108
187,1187,-453,590,2707,1357,1350
188,1188,-438,598,3662,1835,1827
189,1189,-447,593,2224,1117,1107
190,1190,-454,591,5242,2626,2616
191,1191,-449,607,2770,1394,1376
192,1192,-441,587,2740,1370,1370
193,1193,-446,606,3771,1893,1878
194,1194,-452,597,1612,809,803
195,1195,-439,587,3570,1786,1784
196,1196,-442,596,2758,1380,1378
197,1197,-440,593,714,358,356
198,1198,-453,598,1632,820,812
199,1199,-441,590,6486,3232,3254
200,1200,-456,592,2907,1450,1457
201,1201,-455,591,3439,1723,1716
202,1202,-448,592,3840,1912,1928
203,1203,-443,596,3472,1734,1738
204,1204,-451,606,481,240,241
205,1205,-445,597,3121,1561,1560
206,1206,-453,596,3236,1627,1609
207,1207,-440,594,2476,1241,1235
208,1208,-438,597,1353,680,673
209,1209,-439,600,1395,696,699
210,1210,-439,594,499,250,249
211,1211,-436,597,1324,678,646
212,1212,-453,591,1950,978,972
213,1213,-443,598,2910,1447,1463
214,1214,-438,599,553,274,279
215,1215,-441,600,1351,670,681
216,1216,-433,583,2183,1095,1088
217,1217,-438,594,614,306,308
218,1218,-445,586,460,230,230
219,1219,-446,591,20,10,10
