id,unicode,X,Y,population,travellers,visitors
1,1001,9921,4453,1679,636,1043
2,1002,9919,4451,12241,6664,5577
3,1003,9919,4450,5894,2970,2924
4,1004,9920,4453,3938,1830,2108
5,1005,9923,4451,5598,2790,2808
6,1006,9931,4451,5159,2539,2620
7,1007,9929,4450,1657,929,728
8,1008,9925,4452,7720,3927,3793
9,1009,9925,4451,5291,2502,2789
10,1010,9925,4447,5206,2688,2518
11,1011,9916,4449,11205,5948,5257
12,1012,9916,4448,7925,4017,3908
13,1013,9918,4442,6594,3616,2978
14,1014,9917,4442,13738,8408,5330
15,1015,9916,4441,3022,1707,1315
16,1016,9915,4447,6015,2678,3337
17,1017,9916,4447,2439,1087,1352
18,1018,9922,4453,2568,1229,1339
19,1019,9922,4447,6406,3263,3143
20,1020,9925,4449,9458,4912,4546
21,1021,9923,4448,7295,3734,3561
22,1022,9921,4449,5958,3135,2823
23,1023,9918,4446,4954,2615,2339
24,1024,9916,4445,5408,2760,2648
25,1025,9925,4453,4440,2126,2314
26,1026,9926,4451,9584,5435,4149
27,1027,9919,4444,8717,4734,3983
28,1028,9920,4443,7871,4323,3548
29,1029,9920,4445,12188,5974,6214
30,1030,9917,4447,7735,4162,3573
31,1031,9917,4449,5477,2843,2634
32,1032,9921,4447,10024,5036,4988
33,1033,9921,4448,3008,1392,1616
34,1034,9927,4447,5514,2776,2738
35,1035,9922,4450,7548,3905,3643
36,1036,9919,4449,6296,3289,3007
37,1037,9926,4449,5554,2826,2728
38,1038,9920,4444,9588,4823,4765
39,1039,9922,4443,4123,2294,1829
40,1040,9927,4448,5119,2507,2612
41,1041,9928,4445,8071,4162,3909
42,1042,9931,4445,3170,1584,1586
43,1043,9929,4445,11527,5678,5849
44,1044,9928,4446,6132,3088,3044
45,1045,9929,4447,6089,3340,2749
46,1046,9930,4444,6864,3746,3118
47,1047,9931,4446,2647,1288,1359
48,1048,9941,4457,393,196,197
49,1049,9943,4458,11135,1834,9301
50,1050,9937,4459,165,84,81
51,1051,9929,4446,6141,3092,3049
52,1052,9923,4449,6914,3862,3052
53,1053,9918,4445,9480,4969,4511
54,1054,9932,4449,2825,1354,1471
55,1055,9932,4450,2867,1419,1448
56,1056,9928,4448,8965,4392,4573
57,1057,9921,4438,2988,1601,1387
58,1058,9921,4440,8465,4396,4069
59,1059,9918,4441,17974,4433,13541
60,1060,9920,4442,8340,4463,3877
61,1061,9922,4442,15919,7937,7982
62,1062,9925,4446,4966,2524,2442
63,1063,9925,4445,4169,2127,2042
64,1064,9932,4441,3312,1665,1647
65,1065,9931,4442,13068,6850,6218
66,1066,9930,4440,6231,3274,2957
67,1067,9930,4448,3346,1601,1745
68,1068,9923,4452,5571,2910,2661
69,1069,9929,4452,2867,1226,1641
70,1070,9930,4453,4126,2163,1963
71,1071,9933,4436,160,35,125
72,1072,9930,4439,8400,4312,4088
73,1073,9930,4438,4852,2435,2417
74,1074,9927,4446,9053,4662,4391
75,1075,9924,4439,7069,3603,3466
76,1076,9919,4438,3095,1299,1796
77,1077,9923,4437,8268,1689,6579
78,1078,9923,4438,1957,939,1018
79,1079,9923,4436,4103,2200,1903
80,1080,9922,4437,3846,1710,2136
81,1081,9918,4439,6649,3263,3386
82,1082,9917,4440,7703,4541,3162
83,1083,9917,4439,9492,5068,4424
84,1084,9914,4436,1977,1202,775
85,1085,9918,4444,6832,3316,3516
86,1086,9917,4444,9155,5167,3988
87,1087,9914,4446,4382,2529,1853
88,1088,9917,4445,7068,3685,3383
89,1089,9919,4448,4082,1814,2268
90,1090,9919,4452,5117,2581,2536
91,1091,9911,4446,592,273,319
92,1092,9916,4450,7044,3760,3284
93,1093,9912,4449,1229,415,814
94,1094,9914,4449,1353,714,639
95,1095,9914,4442,15004,8464,6540
96,1096,9920,4450,7687,4247,3440
97,1097,9921,4450,9008,4596,4412
98,1098,9923,4442,1442,602,840
99,1099,9924,4441,5613,2535,3078
100,1100,9920,4440,7099,3780,3319
101,1101,9918,4440,9963,4646,5317
102,1102,9919,4445,9485,4809,4676
103,1103,9909,4451,715,299,416
104,1104,9910,4452,200,95,105
105,1105,9914,4453,458,198,260
106,1106,9915,4452,1679,1036,643
107,1107,9918,4449,10458,5730,4728
108,1108,9918,4447,7085,3624,3461
109,1109,9909,4447,477,238,239
110,1110,9926,4437,5627,2960,2667
111,1111,9926,4436,6697,3914,2783
112,1112,9925,4437,2480,1221,1259
113,1113,9923,4439,5256,2833,2423
114,1114,9945,4440,373,140,233
115,1115,9938,4443,1102,520,582
116,1116,9940,4442,442,228,214
117,1117,9939,4447,13,3,10
118,1118,9937,4447,64,18,46
119,1119,9933,4444,3148,1434,1714
120,1120,9920,4439,6091,3264,2827
121,1121,9922,4438,3036,1370,1666
122,1122,9921,4437,5164,2707,2457
123,1123,9916,4440,4028,2051,1977
124,1124,9921,4439,5392,2817,2575
125,1125,9937,4442,382,182,200
126,1126,9926,4442,9023,4585,4438
127,1127,9921,4442,9767,5085,4682
128,1128,9915,4438,3148,1412,1736
129,1129,9915,4440,2236,1230,1006
130,1130,9919,4453,1220,628,592
131,1131,9918,4451,5508,3156,2352
132,1132,9919,4437,2140,1022,1118
133,1133,9918,4436,797,423,374
134,1134,9920,4451,7044,3587,3457
135,1135,9917,4448,5791,3061,2730
136,1136,9920,4438,4881,2481,2400
137,1137,9915,4437,5982,3280,2702
138,1138,9916,4435,1127,513,614
139,1139,9918,4438,3269,1411,1858
140,1140,9918,4437,1066,603,463
141,1141,9915,4435,3476,1856,1620
142,1142,9914,4435,1932,995,937
143,1143,9907,4435,74,25,49
144,1144,9923,4434,1818,930,888
145,1145,9919,4440,7111,3608,3503
146,1146,9922,4445,4091,2046,2045
147,1147,9924,4445,5461,2859,2602
148,1148,9925,4442,4196,1808,2388
149,1149,9914,4441,6543,3448,3095
150,1150,9922,4435,2968,1401,1567
151,1151,9926,4452,5621,2756,2865
152,1152,9924,4451,1330,558,772
153,1153,9924,4446,4059,2157,1902
154,1154,9922,4444,3503,1805,1698
155,1155,9929,4442,10445,5143,5302
156,1156,9929,4443,8851,4296,4555
157,1157,9921,4446,7961,4604,3357
158,1158,9922,4449,7279,4109,3170
159,1159,9924,4450,1943,1143,800
160,1160,9907,4442,2401,1224,1177
161,1161,9910,4442,4303,2386,1917
162,1162,9919,4442,5193,2598,2595
163,1163,9919,4441,4835,2540,2295
164,1164,9928,4436,4111,2213,1898
165,1165,9929,4436,2478,1010,1468
166,1166,9925,4440,3534,1796,1738
167,1167,9924,4440,3504,1989,1515
168,1168,9920,4435,2018,1037,981
169,1169,9931,4450,3583,1754,1829
