id,unicode,X,Y,population,travellers,visitors
1,1001,76,63,72,36,36
2,1002,76,62,124,62,62
3,1003,78,101,392,194,198
4,1004,84,83,435,217,218
5,1005,84,80,1101,551,550
6,1006,86,80,555,277,278
7,1007,71,113,167,84,83
8,1008,64,134,56,28,28
9,1009,52,134,352,175,177
10,1010,49,126,171,86,85
11,1011,84,82,1299,649,650
12,1012,83,82,450,226,224
13,1013,80,101,188,94,94
14,1014,84,88,124,61,63
15,1015,84,84,340,171,169
16,1016,76,88,153,74,79
17,1017,47,133,92,48,44
18,1018,59,77,325,164,161
19,1019,42,101,234,118,116
20,1020,39,107,177,89,88
21,1021,52,126,134,67,67
22,1022,59,124,152,76,76
23,1023,73,95,52,27,25
24,1024,72,95,350,175,175
25,1025,48,111,157,79,78
26,1026,47,115,211,107,104
27,1027,49,136,185,93,92
28,1028,48,139,80,38,42
29,1029,70,93,223,113,110
30,1030,73,90,214,108,106
31,1031,81,96,111,55,56
32,1032,56,138,224,111,113
33,1033,49,139,57,29,28
34,1034,81,83,108,54,54
35,1035,78,86,210,106,104
36,1036,73,92,195,96,99
37,1037,70,76,112,56,56
38,1038,69,75,172,86,86
39,1039,82,89,163,82,81
40,1040,83,86,478,242,236
41,1041,33,116,65,33,32
42,1042,26,116,209,104,105
43,1043,72,83,229,116,113
44,1044,71,80,255,128,127
45,1045,43,114,202,101,101
46,1046,35,114,126,63,63
47,1047,70,67,96,48,48
48,1048,73,68,182,90,92
49,1049,32,105,78,39,39
50,1050,31,107,73,36,37
51,1051,66,128,141,70,71
52,1052,68,132,34,17,17
53,1053,80,37,118,57,61
54,1054,83,37,28,14,14
55,1055,83,84,154,77,77
56,1056,88,67,168,85,83
57,1057,83,87,307,154,153
58,1058,47,117,242,119,123
59,1059,92,53,44,22,22
60,1060,92,49,35,17,18
61,1061,62,96,272,136,136
62,1062,59,97,185,93,92
63,1063,71,94,121,61,60
64,1064,74,101,453,227,226
65,1065,81,73,62,31,31
66,1066,87,66,205,102,103
67,1067,18,59,141,71,70
68,1068,14,49,92,48,44
69,1069,74,48,111,55,56
70,1070,76,50,116,57,59
71,1071,46,76,169,84,85
72,1072,44,77,46,24,22
73,1073,83,85,278,139,139
74,1074,80,90,139,71,68
75,1075,75,53,44,21,23
76,1076,73,46,132,65,67
77,1077,84,59,65,33,32
78,1078,85,54,63,32,31
79,1079,24,72,81,40,41
80,1080,82,67,8,4,4
81,1081,49,96,71,36,35
82,1082,59,92,72,35,37
83,1083,64,99,244,121,123
84,1084,64,101,211,106,105
85,1085,67,108,52,26,26
86,1086,69,136,119,59,60
87,1087,73,49,177,89,88
88,1088,70,49,174,88,86
89,1089,52,77,77,37,40
90,1090,55,125,118,57,61
91,1091,40,95,59,30,29
92,1092,35,95,164,82,82
93,1093,77,92,20,10,10
94,1094,82,79,133,67,66
95,1095,67,106,187,92,95
96,1096,69,109,444,221,223
97,1097,59,74,246,122,124
98,1098,74,66,98,49,49
99,1099,83,67,46,23,23
100,1100,53,97,232,116,116
101,1101,54,97,185,93,92
102,1102,52,108,178,89,89
103,1103,49,107,200,100,100
104,1104,42,133,98,48,50
105,1105,59,129,108,54,54
106,1106,64,137,76,38,38
107,1107,43,123,104,54,50
108,1108,42,127,128,65,63
109,1109,59,82,138,71,67
110,1110,80,59,80,40,40
111,1111,78,59,58,29,29
112,1112,54,43,86,42,44
113,1113,59,43,46,23,23
114,1114,79,87,54,28,26
115,1115,78,88,159,79,80
116,1116,67,114,94,47,47
117,1117,64,114,168,83,85
118,1118,63,72,78,39,39
119,1119,63,74,255,126,129
120,1120,86,83,758,379,379
121,1121,85,83,650,325,325
122,1122,80,82,66,33,33
123,1123,75,74,64,32,32
124,1124,45,98,52,25,27
125,1125,44,96,239,121,118
126,1126,77,89,219,110,109
127,1127,75,89,51,25,26
128,1128,79,57,32,16,16
129,1129,48,37,45,23,22
130,1130,88,72,710,354,356
131,1131,88,68,269,137,132
132,1132,32,135,151,75,76
133,1133,30,135,52,26,26
134,1134,88,73,324,162,162
135,1135,77,60,88,44,44
136,1136,32,98,38,19,19
137,1137,48,79,100,50,50
138,1138,58,119,351,180,171
139,1139,73,96,200,100,100
140,1140,76,99,89,44,45
141,1141,65,74,289,145,144
142,1142,82,73,40,20,20
143,1143,83,70,36,18,18
144,1144,57,113,150,75,75
145,1145,71,47,169,85,84
146,1146,25,101,188,93,95
147,1147,30,98,209,104,105
148,1148,26,89,107,53,54
149,1149,28,84,71,35,36
150,1150,80,77,37,18,19
151,1151,81,74,57,28,29
152,1152,79,97,300,150,150
153,1153,55,135,321,159,162
154,1154,64,135,104,51,53
155,1155,86,75,120,60,60
156,1156,80,89,197,99,98
157,1157,82,83,163,81,82
158,1158,49,101,623,311,312
159,1159,89,63,108,51,57
160,1160,30,117,490,248,242
161,1161,32,126,120,60,60
162,1162,75,70,130,64,66
163,1163,85,85,156,78,78
164,1164,81,99,548,273,275
165,1165,78,98,147,74,73
166,1166,49,67,84,42,42
167,1167,67,79,201,99,102
168,1168,35,65,247,125,122
169,1169,54,79,58,29,29
170,1170,52,82,110,55,55
171,1171,81,101,226,114,112
172,1172,77,106,224,112,112
173,1173,70,83,445,222,223
174,1174,69,82,265,132,133
175,1175,68,86,86,43,43
176,1176,74,70,9,5,4
177,1177,53,92,109,55,54
178,1178,60,78,100,50,50
179,1179,52,69,44,22,22
180,1180,52,67,87,44,43
181,1181,66,101,81,42,39
182,1182,69,102,119,58,61
183,1183,45,114,128,62,66
