id,unicode,X,Y,population,travellers,visitors
1,1001,12697,2316,73995,47636,26359
2,1002,12670,2329,9137,5708,3429
3,1003,12669,2329,42094,18220,23874
4,1004,12682,2319,5875,2959,2916
5,1005,12686,2318,24657,14386,10271
6,1006,12680,2317,22238,11960,10278
7,1007,12699,2318,92546,44799,47747
8,1008,12701,2324,2213,665,1548
9,1009,12700,2318,63702,32264,31438
10,1010,12699,2319,53579,29321,24258
11,1011,12698,2317,45185,24520,20665
12,1012,12694,2318,25528,13670,11858
13,1013,12696,2315,24763,12002,12761
14,1014,12694,2315,10952,5806,5146
15,1015,12696,2316,59251,32264,26987
16,1016,12698,2318,45848,24423,21425
17,1017,12697,2318,27423,14412,13011
18,1018,12688,2317,9532,5169,4363
19,1019,12689,2317,10105,5337,4768
20,1020,12698,2316,47029,8660,38369
21,1021,12702,2318,121525,65822,55703
22,1022,12703,2318,192003,109307,82696
23,1023,12701,2318,63530,33182,30348
24,1024,12703,2317,135279,59330,75949
25,1025,12705,2319,34480,17913,16567
26,1026,12711,2323,416,55,361
27,1027,12708,2321,2879,741,2138
28,1028,12702,2317,48974,26072,22902
29,1029,12704,2318,52077,27645,24432
30,1030,12704,2319,84548,44483,40065
31,1031,12703,2321,24411,11892,12519
32,1032,12692,2318,25750,13321,12429
33,1033,12694,2319,30089,16334,13755
34,1034,12694,2320,22433,10832,11601
35,1035,12699,2321,15643,7833,7810
36,1036,12697,2320,10250,5041,5209
37,1037,12699,2317,40202,21059,19143
38,1038,12695,2317,49545,27663,21882
39,1039,12696,2317,66482,33105,33377
40,1040,12695,2316,47118,24242,22876
41,1041,12697,2317,52440,27098,25342
42,1042,12706,2319,14283,7296,6987
43,1043,12705,2321,24649,12031,12618
44,1044,12682,2316,37682,21814,15868
45,1045,12683,2317,6839,3139,3700
46,1046,12684,2317,8749,3761,4988
47,1047,12684,2318,20712,11418,9294
48,1048,12686,2317,12172,6271,5901
49,1049,12687,2318,17535,9433,8102
50,1050,12687,2317,3115,1918,1197
51,1051,12693,2317,23415,11808,11607
52,1052,12693,2316,36663,19879,16784
53,1053,12687,2319,3963,1402,2561
54,1054,12686,2321,1910,842,1068
55,1055,12701,2319,39446,20533,18913
56,1056,12691,2318,11201,5523,5678
57,1057,12695,2318,42357,21441,20916
58,1058,12702,2325,22305,12128,10177
59,1059,12702,2326,5730,2278,3452
60,1060,12695,2319,25956,12570,13386
61,1061,12699,2320,14259,6882,7377
62,1062,12697,2319,16805,8734,8071
63,1063,12694,2316,35737,18004,17733
64,1064,12695,2315,12369,5482,6887
65,1065,12723,2324,640,270,370
66,1066,12714,2319,1244,810,434
67,1067,12716,2319,1462,552,910
68,1068,12708,2320,16241,8855,7386
69,1069,12683,2319,6565,3085,3480
70,1070,12682,2317,10434,5435,4999
71,1071,12681,2316,34560,18784,15776
72,1072,12680,2316,13867,6464,7403
73,1073,12701,2320,36950,19828,17122
74,1074,12704,2321,23783,11798,11985
75,1075,12681,2320,1213,406,807
76,1076,12681,2319,8815,4405,4410
