id,unicode,x,y,population,outdegree,indegree
1,E41000059,482066,195153,171700,405,662
2,E41000058,497846,185108,66900,142,290
3,E41000057,494972,198862,92600,232,133
4,E41000056,476804,222102,174100,489,506
5,E41000062,539785,298107,95300,254,109
6,E41000064,542425,254767,148800,524,833
7,E41000061,556423,274127,83800,293,108
8,E41000063,521221,276553,169500,617,390
9,E41000060,545868,257826,123900,320,822
10,E41000068,310983,502914,70600,231,319
11,E41000067,348323,564331,107500,272,316
12,E41000070,344768,488901,103700,442,344
13,E41000065,319730,535842,96400,287,167
14,E41000069,359938,524358,52600,224,123
15,E41000066,320873,470759,69100,208,212
16,E41000076,408485,386240,90900,328,104
17,E41000078,429772,326032,94600,274,125
18,E41000075,444007,337765,112100,257,124
19,E41000077,436930,370007,99000,264,86
20,E41000071,435867,348127,122300,314,167
21,E41000072,448355,368974,75900,140,110
22,E41000074,420594,359042,71100,267,124
23,E41000073,440044,373420,103800,240,157
24,E41000082,265951,131798,93700,366,416
25,E41000079,313735,96786,132500,579,770
26,E41000084,282881,79822,124200,455,161
27,E41000086,255457,86044,53500,289,67
28,E41000081,290591,109684,77800,298,73
29,E41000080,293494,92422,117800,319,483
30,E41000090,390828,86896,45000,254,297
31,E41000087,415029,95794,47700,157,116
32,E41000091,359321,98484,99300,502,329
33,E41000088,402803,107132,87200,326,130
34,E41000089,382780,112585,68600,309,407
35,E41000092,367877,78965,65200,346,89
36,E41000095,541145,111095,97500,256,159
37,E41000096,578458,119977,90600,266,111
38,E41000097,554480,120959,148900,471,177
39,E41000093,559875,99839,99400,202,139
40,E41000094,580957,110907,90300,215,111
41,E41000100,560001,195843,73600,146,166
42,E41000107,594711,191803,83300,134,67
43,E41000104,548555,203312,124700,186,153
44,E41000108,614540,223792,138000,294,148
45,E41000109,556829,228687,79400,227,458
290,E41000021,389060,346759,249000,398,342
46,E41000102,571446,205880,168300,354,271
47,E41000103,597041,223198,173100,421,867
48,E41000106,592386,204886,61600,136,105
49,E41000099,578118,230205,147100,275,194
50,E41000105,545592,209844,81900,111,139
51,E41000098,570944,190802,174500,219,295
52,E41000101,580003,185152,88000,130,44
53,E41000112,366321,214521,82000,311,274
54,E41000111,407476,213097,82900,424,352
55,E41000114,379370,203435,112800,435,292
56,E41000115,394087,227462,81900,351,459
59,E41000116,455837,153004,167800,464,474
60,E41000123,426511,106609,176500,552,420
61,E41000118,447375,115057,125200,359,275
62,E41000117,473299,131100,115600,442,491
63,E41000126,454721,125710,116600,496,778
64,E41000125,434340,136687,116400,381,467
65,E41000121,476987,154541,91000,313,945
71,E41000130,518945,199011,100000,165,263
72,E41000127,534963,204736,93600,112,125
73,E41000128,500761,209842,144800,245,262
74,E41000129,537239,220372,137700,272,227
77,E41000131,524281,230499,127100,252,169
95,E41000158,353237,425983,109100,323,166
96,E41000157,382447,421963,68000,186,66
97,E41000151,339289,432352,75800,249,401
98,E41000155,354160,435282,140200,316,395
99,E41000160,343989,445540,107700,294,142
100,E41000154,387936,441047,89500,218,73
101,E41000156,370878,445765,57100,171,154
102,E41000152,374399,429213,80700,170,80
103,E41000149,385472,431423,87000,180,98
104,E41000164,441326,302253,105100,263,135
57,E41000113,383546,216782,121700,338,313
58,E41000110,395004,222053,115700,454,397
66,E41000120,459331,100970,82600,594,508
67,E41000119,454675,106192,111600,553,615
68,E41000122,471257,104793,120700,415,141
69,E41000124,486074,153421,93800,295,869
70,E41000134,506574,196920,87300,228,544
78,E41000135,510514,197799,90300,140,241
86,E41000138,616389,158425,151200,376,282
87,E41000140,629826,151041,111700,389,194
88,E41000142,580249,151587,155200,289,301
89,E41000145,596035,164045,135800,240,111
90,E41000139,556725,172680,97400,116,219
91,E41000141,566679,170066,101700,153,87
92,E41000159,341708,412920,110700,294,170
93,E41000153,353316,463907,138400,424,193
94,E41000150,357284,418528,107200,306,113
79,E41000133,524662,224414,84000,116,242
80,E41000148,570241,137821,115000,279,224
81,E41000144,609920,132531,108000,276,293
82,E41000143,551596,155158,114900,216,156
83,E41000147,564565,155359,120800,246,209
84,E41000146,632697,167012,134200,331,104
85,E41000137,596821,139982,118000,264,198
105,E41000166,440248,317444,93500,256,252
106,E41000165,477218,322704,50400,157,84
107,E41000163,467370,293957,85400,245,164
108,E41000161,452828,297360,93900,225,185
109,E41000162,457749,315828,166100,438,247
110,E41000167,461519,299200,56200,155,64
111,E41000174,501369,389516,89200,399,185
112,E41000173,499900,329562,133800,601,239
113,E41000172,532812,324070,88300,286,121
114,E41000168,532895,343702,64600,174,124
115,E41000171,504196,354890,107800,721,940
116,E41000169,535540,374450,136400,433,637
129,E41000186,476100,260923,212100,381,405
130,E41000182,488625,289818,61300,137,82
131,E41000194,488806,497623,108800,444,185
132,E41000195,457109,432651,83500,306,129
133,E41000189,388697,464893,55400,208,125
134,E41000192,404365,496226,52000,303,1641
135,E41000191,426568,463538,157900,474,919
136,E41000193,474969,480025,51700,173,172
137,E41000190,444425,488119,89100,387,831
138,E41000197,469427,382267,112900,302,259
139,E41000202,464824,334145,111100,376,230
140,E41000199,459163,348261,113600,290,99
141,E41000196,449711,355262,119500,247,185
142,E41000201,472387,359076,114800,380,186
143,E41000198,449646,342374,109500,381,297
144,E41000200,455394,364053,104400,262,83
145,E41000206,438739,192972,121000,451,932
146,E41000205,464365,193179,134300,418,868
147,E41000203,449874,229170,141900,413,474
148,E41000207,434070,215555,104800,400,920
149,E41000204,452490,206482,151900,399,903
150,E41000212,295812,138229,34700,125,150
151,E41000208,362044,144997,109300,385,154
117,E41000170,496571,370716,93500,379,308
118,E41000179,613548,332821,101500,388,185
119,E41000177,647809,311059,97300,210,177
120,E41000181,622383,295787,124000,448,286
121,E41000178,567019,317080,147500,489,793
122,E41000175,592301,302683,130500,454,278
123,E41000180,622251,308846,132500,355,401
124,E41000187,465625,247580,85200,279,188
125,E41000184,500424,285424,86800,281,90
126,E41000183,464976,269080,77800,241,167
127,E41000188,487928,266297,75400,164,118
128,E41000185,484045,281623,93500,241,149
152,E41000211,318912,124098,110200,390,494
153,E41000210,350270,121212,161300,693,1030
154,E41000209,333511,143263,114600,365,129
155,E41000219,401353,353566,97100,256,111
156,E41000217,388129,303085,108100,309,130
157,E41000215,413284,310071,100700,299,212
158,E41000216,378693,344025,123900,304,158
159,E41000218,388211,327865,130800,385,321
160,E41000214,412745,329548,113600,303,203
161,E41000213,401433,312747,97500,201,85
162,E41000220,421904,303234,76800,212,70
163,E41000227,643837,286197,115300,334,135
164,E41000221,600011,243142,87700,356,241
165,E41000226,633440,257097,124300,445,417
166,E41000225,582702,262835,111000,350,516
167,E41000222,572500,275982,59700,138,194
168,E41000224,611204,265466,96700,319,497
169,E41000223,616727,244433,133400,330,238
170,E41000237,495733,139841,121600,308,305
171,E41000236,536717,149356,83000,232,155
172,E41000238,500404,158179,99200,216,265
173,E41000235,492695,161266,86200,248,537
174,E41000233,501584,167092,80500,169,424
175,E41000230,500487,150830,137200,342,955
176,E41000232,526281,152001,137800,262,350
177,E41000231,517085,147228,85400,187,424
178,E41000228,512049,163233,130900,325,302
179,E41000234,506613,170646,95600,169,332
185,E41000240,435676,289376,125300,303,101
186,E41000245,500925,105581,149500,353,162
187,E41000244,519881,106374,61200,125,56
188,E41000246,488475,116097,113800,374,420
189,E41000249,531461,126277,139900,332,253
190,E41000248,514746,122866,131300,349,224
180,E41000229,521198,161443,75100,157,156
181,E41000239,425319,294468,62000,156,184
182,E41000241,445815,276471,100100,263,355
183,E41000243,428413,268069,136000,435,411
184,E41000242,425887,253459,120500,439,472
191,E41000250,513075,104523,104600,214,161
192,E41000247,527317,137814,106600,167,731
193,E41000252,376531,253890,74600,311,132
194,E41000256,381400,275762,98000,233,90
195,E41000255,396621,251770,116900,348,218
196,E41000251,399006,273744,93600,265,162
197,E41000254,385653,255405,98800,283,185
198,E41000253,403381,264906,84200,176,112
199,E41000312,519298,166820,160100,317,355
200,E41000299,533290,163541,363400,574,372
201,E41000297,542896,165656,309400,468,318
202,E41000309,513584,175658,254000,452,974
203,E41000300,515888,181715,338400,608,616
204,E41000307,554005,187250,237200,299,239
205,E41000308,507890,183653,273900,368,1589
211,E41000314,537667,174002,275900,471,267
212,E41000302,542855,177055,254600,422,473
213,E41000295,548927,175720,232000,267,184
214,E41000301,532424,196421,312500,402,338
215,E41000322,537758,190223,258200,277,241
216,E41000317,543915,189463,279000,479,203
217,E41000320,526977,164134,190100,322,234
218,E41000318,517386,172879,187000,514,501
219,E41000315,525476,169422,199700,370,352
220,E41000323,526129,174114,307000,726,763
291,W40000003,283944,361819,115200,484,153
292,E41000047,410418,533393,513200,1163,450
293,E41000019,349072,245278,183500,773,467
294,E41000005,429039,517142,105600,406,270
295,E41000011,499880,442359,334200,1160,533
296,E41000006,352242,383225,125800,294,209
297,E41000001,448108,530697,92000,255,86
321,E41000030,417852,185881,209200,551,538
322,E41000020,367089,314840,166600,488,364
323,E41000043,531535,106544,273400,562,479
324,E41000034,564793,181231,157700,157,184
325,W40000018,327293,200506,91100,192,123
206,E41000306,514987,190067,239100,467,250
207,E41000296,520178,185830,311200,473,461
208,E41000294,524028,192316,356400,638,457
309,E41000003,463381,518036,135200,455,132
310,W40000015,300779,195591,234400,554,192
311,E41000017,491088,307849,37400,219,383
209,E41000313,530840,174440,303100,660,1072
312,E41000051,350419,304381,306100,1024,1282
210,E41000319,533855,176788,288300,627,1525
221,E41000304,523610,178841,182500,425,1179
313,W40000004,309416,355824,93700,325,208
314,W40000019,340232,206927,91300,430,142
315,W40000009,251265,224570,183800,650,203
316,W40000005,322432,369610,152500,437,293
317,E41000039,498214,179777,140200,206,496
318,E41000033,589327,185662,173600,247,159
319,E41000025,367470,183210,262800,660,1240
320,E41000004,443489,518820,191600,677,281
222,E41000311,525576,179579,158700,532,1191
232,E41000272,431077,404459,231200,453,185
233,E41000281,408598,287857,1073000,1586,1907
234,E41000257,369179,409217,276800,502,209
235,E41000288,409659,438724,522500,770,468
236,E41000258,379409,410184,185100,397,196
237,E41000289,401851,424976,203800,408,217
238,E41000287,391900,299050,249500,405,308
239,E41000282,432759,279983,318600,556,654
240,E41000273,460016,405677,302400,703,285
241,E41000283,392714,287219,312900,446,251
242,E41000276,420416,560123,200200,457,318
243,E41000290,415750,414563,422500,813,300
244,E41000267,344674,392358,145900,310,195
245,E41000291,432614,436721,751500,1208,1553
246,E41000268,339119,389128,466400,826,788
224,E41000298,527864,184664,220300,487,2790
247,E41000259,384655,394995,503100,875,1810
248,E41000277,421983,568177,280200,596,825
249,E41000278,430967,570504,200800,589,248
250,E41000260,396742,406142,224900,366,234
251,E41000261,389655,413347,211700,372,211
252,E41000274,447553,390437,257300,439,247
253,E41000262,375537,399267,233900,454,475
225,E41000321,536467,181477,254100,422,2316
254,E41000284,399487,290839,308100,376,297
255,E41000270,332794,408101,273800,652,266
256,E41000275,429990,389827,552700,933,737
257,E41000285,418660,279492,206700,593,399
226,E41000310,531129,184980,206100,427,1492
258,E41000279,435686,563356,148100,435,101
