id,unicode,X,Y,population,traveller,visitor
1,01001,872696.19587543898,-512378.48421288293,44021,11921,3748
2,01003,789795.39886695868,-722254.91803286003,141342,16977,6990
3,01005,997009.74668441771,-573846.63325260393,29015,1651,3090
4,01007,822898.17139340332,-465201.78283524822,19913,4676,1099
5,01009,863691.80448617681,-351053.28230140801,51107,13289,2317
6,01011,964034.65168532322,-551595.94067693618,11581,1145,1336
7,01013,877745.70293689368,-599517.34322034183,21325,2165,1246
8,01015,933829.5537073625,-367321.42572045396,111081,7312,10248
9,01017,984142.20369186916,-458061.13034383138,36571,6195,3453
10,01019,949221.3947207469,-320190.54083705868,24006,5369,908
11,01021,862211.37361625792,-478338.77241680137,39897,9028,1838
12,01023,726595.6717463017,-583246.50885494589,15875,1910,1476
13,01025,770408.09724269877,-617913.63163453061,27819,2494,2653
14,01027,936646.68646088289,-423445.28814614192,14263,1987,1100
15,01029,963113.69565002143,-375022.28979389428,14172,3644,800
16,01031,946788.24257334683,-631619.36281613784,43580,6640,3994
17,01033,743763.19195191341,-281397.10175095859,54997,7880,9293
18,01035,851729.06437304826,-638173.14033382444,14035,2239,1133
19,01037,904833.82911759045,-464141.56513011974,11844,3562,939
20,01039,904877.03991900315,-653196.27675221383,37514,2657,1996
21,01041,912407.11021694355,-598395.27302919619,13692,2777,645
22,01043,834663.2177630862,-336931.7378908401,77473,9859,4759
23,01045,981960.30556149804,-624559.41006036231,49124,7531,7964
24,01047,831748.89902103343,-539752.09173068113,46198,2071,2837
25,01049,927571.05894569342,-290617.00665829162,64650,7183,4618
26,01051,917855.23206101567,-500880.23162259755,66160,18685,4141
27,01053,839022.38301686989,-673216.18141790631,38325,3137,3751
28,01055,911547.13231420785,-338913.75314357976,103286,10447,6455
255,08079,-952356.02856778633,73705.795390495783,832,66,56
29,01057,759248.02307594114,-389943.92169081268,18512,2944,1500
30,01059,742726.50854664284,-310534.37502690061,31242,4480,2895
31,01061,964493.59664490144,-664122.45102460613,25740,5222,1504
32,01063,747887.0847182743,-488206.08842320164,9902,1584,438
33,01065,778717.12284088752,-495673.7150207677,18194,2968,822
34,01067,1015711.0179588983,-611503.86144815956,16341,3551,1367
35,01069,1014496.6475441761,-652115.89884397725,88943,4865,13410
36,01071,906141.7823180441,-256942.17903006944,53979,7736,3729
37,01073,838198.12786818331,-401437.53392392991,662033,26735,89408
38,01075,725877.82627867779,-386303.17198520462,15923,2311,1379
39,01077,755418.71904865315,-257783.30232497927,88039,11325,7233
40,01079,790285.43383628305,-297318.37676320213,34874,9044,2633
41,01081,991458.09130992414,-492403.56787010585,115430,16561,8117
42,01083,817142.09839982132,-262437.06590322126,65966,13473,7719
43,01085,876180.15562431968,-554624.24893485161,13471,3040,1518
44,01087,962771.00356623193,-519719.55773458746,24047,3779,1680
45,01089,856597.25206484646,-263881.01008886972,278006,7719,31795
46,01091,768788.15181118762,-554188.9734558682,22564,2300,2211
47,01093,741705.06599673815,-344868.65838894487,31137,3779,3500
48,01095,883105.19731874962,-305720.41598460311,82429,9406,10934
49,01097,743152.33670387708,-719604.34541721246,400073,13053,21098
50,01099,815194.36960703076,-625762.78131032398,24319,1388,2266
51,01101,916761.64116397069,-543201.93226501008,223428,6455,38354
52,01103,832568.17191986216,-301015.82251638192,111221,13755,16655
53,01105,811040.89334946987,-506659.46613031998,11809,1685,554
54,01107,731254.34302759077,-441694.03850541241,20881,3532,774
55,01109,946543.88131900062,-586880.60304046259,29748,2529,2465
56,01111,973289.48576132604,-416675.37024041935,22377,3740,1152
1321,27101,18916.518577955372,730019.9942887153,9153,1460,503
57,01113,1011269.6342362614,-525269.67363320361,49805,12791,6192
58,01115,889768.01313044259,-378212.18054303416,65080,17119,4380
59,01117,863030.43305648502,-431556.44770818303,144674,41167,27252
60,01119,727428.04918968596,-519273.48193476244,14746,1430,949
61,01121,907240.97578827152,-414100.28667810373,80772,10880,5258
62,01123,947323.29287956981,-467966.23115124332,41689,4884,3813
63,01125,783143.4377050784,-436241.44817704585,165414,7917,11402
64,01127,798887.73605953017,-377184.17899610428,70602,10126,2644
65,01129,737377.87923611328,-650738.46756950545,18101,3234,2042
66,01131,816380.68431201729,-578832.48895098129,12939,1241,1521
67,01133,788383.36947695864,-339324.245931921,24857,2988,3990
68,04001,-1210747.5572281405,-150858.8119809356,69507,3467,2714
69,04003,-1290622.3646750692,-534907.3622937235,118132,2812,2113
70,04005,-1405356.8096113438,-69608.698497598205,116773,4344,5950
71,04007,-1355986.6729738859,-308359.32138470782,51332,2172,2268
72,04009,-1286207.2134664692,-416925.54668242013,33511,2301,590
73,04011,-1222278.2206431727,-394307.9975641598,8547,208,1668
74,04012,-1644760.3250314528,-266030.99354340654,19611,892,1288
75,04013,-1517296.0997160361,-332604.98234990437,3092197,23625,41212
76,04015,-1583928.8806984669,-53372.269585169677,156215,14927,2933
77,04017,-1284777.6971475852,-139268.26861673064,97689,2855,3472
78,04019,-1476205.6183965502,-481002.7613771974,848019,9412,9077
79,04021,-1420570.0723567375,-399186.26219213929,181280,24003,10581
80,04023,-1398753.8626053939,-558294.45154176035,38589,1333,1746
81,04025,-1498494.3057415413,-193972.88723722452,168608,7934,2359
82,04027,-1657889.5477054771,-372637.22355370078,160576,2158,2180
83,05001,422360.65045885462,-349040.93823916401,20776,719,1911
84,05003,391933.51036975853,-473422.70453558734,24179,1209,1728
85,05005,325934.34736244474,-129619.23017431804,38446,1552,3076
86,05007,154973.82893402371,-128632.65721538056,154744,12418,18160
87,05009,258745.98171505754,-129537.4674473203,34051,1802,3535
88,05011,354197.9290677394,-444339.534480292,12597,1227,904
89,05013,322377.82511179836,-435273.70741760469,5709,1203,1144
90,05015,218936.32975735582,-127020.4420888696,25369,1421,1644
91,05017,435422.5315003962,-462891.21310515486,14062,1161,1340
92,05019,258720.51055904652,-382275.8986225492,23474,1792,2903
93,05021,496045.623129163,-112211.57990010417,17537,2202,1620
94,05023,357022.34777596616,-212304.1501103215,24100,3076,1341
95,05025,350157.50983691536,-396147.0410872231,8536,2525,353
96,05027,256755.64214116856,-475833.12335540121,25599,1577,2020
97,05029,297497.8923606262,-245492.67856708672,20312,3449,1813
98,05031,480308.45771095838,-173419.57750718779,82519,4515,8067
99,05033,157810.20595629027,-212636.79083336954,53404,12195,6204
100,05035,513431.38047369232,-241368.38503801887,50915,8182,4419
101,05037,471232.9289494062,-233922.78399184387,19458,2549,1355
102,05039,306821.15777945804,-389787.36806314893,9146,1340,1251
103,05041,435911.31585455086,-399567.9582010716,15302,1045,1798
104,05043,394377.30367059447,-428803.33931723435,18670,1935,1655
105,05045,331287.95704805449,-257159.58344097866,86501,13749,7801
106,05047,189632.91878807268,-220568.59864097214,17737,3399,1253
107,05049,371590.65833469603,-117116.07051309168,11656,2242,512
108,05051,259321.13999012738,-323453.30021811783,88311,4140,6256
109,05053,326633.82886632456,-353249.27592934814,16476,4395,1148
110,05055,485067.99436902633,-140980.35700931845,37563,3081,3140
111,05057,214495.88370129673,-418761.87673193426,23620,2712,2639
112,05059,278845.38410488627,-351816.5749117533,30480,6368,1687
113,05061,183789.64193077304,-379987.43947573937,14233,843,3641
114,05063,396998.62655100267,-187734.76600257316,34333,1732,3620
115,05065,364527.94029693585,-149590.52164005747,13298,1712,761
116,05067,429589.90967898653,-202116.98804364869,18403,1650,1241
117,05069,371662.98396303318,-353812.03197300143,84171,5025,7479
118,05071,228189.77681953579,-213140.7181894891,22813,1972,1630
119,05073,221514.72822496493,-473828.27757648501,8539,1333,636
120,05075,436706.94715833472,-152185.83358628096,17672,2504,1586
121,05077,473395.69702565391,-291513.80834994355,12527,1190,517
122,05079,391305.67332348006,-387782.43056308042,14477,2097,1012
123,05081,162531.68287073198,-423759.0308416232,13613,2233,1996
124,05083,206083.23205122183,-253411.7228936498,22500,2998,1324
125,05085,373234.39565071202,-299432.74077048613,53153,15442,3278
126,05087,203239.31033086684,-164406.6646223845,14272,2976,408
127,05089,295127.94834957295,-132861.69070468232,16162,2342,1020
128,05091,195013.84998745954,-466514.19537356938,40436,9166,5657
129,05093,532495.94360421679,-177801.15423271823,51849,1816,3874
130,05095,435785.68495678011,-305061.04727474868,10182,1223,938
131,05097,213097.9537101062,-328955.89127851516,9263,1568,360
132,05099,247954.82612564444,-425845.94219192001,9895,1969,772
133,05101,248777.85911632163,-173372.91002046387,8642,1946,194
134,05103,287342.0285817156,-432548.75702806265,28677,3104,1831
135,05105,277875.35051364684,-281375.33890666033,10223,3098,312
136,05107,469566.35670008801,-331222.20292033849,26290,1656,734
137,05109,214429.09557899556,-370879.84812560485,11332,2052,1105
138,05111,479239.05319824757,-202267.6336303803,25617,4314,1706
139,05113,161443.1791107688,-336000.30201144516,20268,817,1092
140,05115,266848.42893546307,-225753.42776577285,54541,3981,5584
141,05117,403301.97239238617,-289620.80315481266,9491,1913,543
142,05119,334778.41632977501,-299234.66711676639,361876,9604,67462
143,05121,442019.3076027417,-118243.78316289959,18155,1942,917
144,05123,475036.73796441581,-264378.09726872866,29325,2559,2530
145,05125,302178.93153643503,-314227.26171140635,84084,24788,5063
146,05127,175611.13108276619,-293763.52633948158,10980,1282,653
147,05129,295148.98752716428,-172904.23736052608,8246,1034,249
148,05131,155807.52729031601,-256290.85873667922,115578,6347,25870
149,05133,161281.46720689035,-390633.30078919214,15747,1739,1213
150,05135,402802.49468976207,-140447.81783173911,17138,2189,1535
151,05137,343903.79974135716,-176786.11662746785,11519,1058,428
152,05139,315267.20369240997,-478714.72048688098,45532,1139,3836
153,05141,312942.62084760785,-209266.52716905155,16221,2158,759
154,05143,159523.56036685739,-168797.70715147443,158851,10222,15978
155,05145,383673.95696984243,-242731.56551582747,67382,7136,4406
156,05147,429366.00757247192,-248403.45240012943,8686,880,594
157,05149,234266.5900438487,-276510.56301989756,21147,3345,1615
158,06001,-2234799.5624056901,322626.3427370023,1449840,224230,229988
159,06003,-2033717.5886095569,379179.53489141492,1209,218,696
160,06005,-2107510.9449044312,380959.35502107814,35153,3535,2884
161,06007,-2150234.458136051,534212.88530354435,203807,7477,5412
162,06009,-2106249.0475622555,352585.96213489654,40645,6532,1522
163,06011,-2217249.2622045986,496043.65497276164,18817,1386,1866
164,06013,-2229856.2682821676,353065.84371331689,952810,186828,83601
165,06015,-2270480.7213066868,811011.53705246712,27440,500,733
166,06017,-2087337.7876905431,414162.90653915337,157162,32368,8200
167,06019,-2070586.8432283737,175970.10084789796,801288,21587,25215
168,06021,-2217096.0204939735,545049.56935108267,26416,3006,2040
169,06023,-2302689.9872971028,698451.47503477836,126462,1028,1320
170,06025,-1785131.7845061761,-316521.64224420983,142410,2564,3413
171,06027,-1883467.206691257,102115.70243357593,17955,570,1249
172,06029,-2028677.2933042836,2253.5455977835632,663803,14499,15001
173,06031,-2103409.5931886812,105317.4909949642,129835,8549,7366
174,06033,-2262137.4752340247,499747.32139254222,58538,4293,1046
175,06035,-2038711.1451849521,620817.61027804168,33719,1012,1028
176,06037,-2011068.9260817913,-119756.38024409869,9538191,277249,439551
177,06039,-2067309.0768255482,228215.43245890489,123587,12747,10157
178,06041,-2291573.2541323001,388527.84991188726,247520,47829,43962
179,06043,-2069183.5223522512,270768.20425066922,17101,1828,1053
180,06045,-2303830.723537345,551647.03131492517,86407,2208,2147
181,06047,-2149183.4800009714,246628.20090219626,212258,18316,8077
182,06049,-2022966.3880190121,722866.67952842859,9406,563,277
183,06051,-1972935.5110141125,287828.54330905998,12921,1068,1003
184,06053,-2221850.8960530688,152989.25755801337,402990,17946,12672
185,06055,-2245531.9881221023,425867.65042864787,124565,13007,15534
186,06057,-2092537.0121636956,476189.91788793978,92520,11175,4502
187,06059,-1985489.4164359616,-196706.43950253527,2854513,221923,260366
188,06061,-2095264.5534964551,449322.72984108422,251012,46807,45034
189,06063,-2077868.9826720736,553804.98957312352,20754,1098,782
190,06065,-1825739.4057824071,-227346.58195390296,1558985,172985,82147
191,06067,-2165183.7638120907,396770.86691941845,1229940,82696,100313
192,06069,-2196512.6253161463,191229.23201634304,53781,11194,3551
193,06071,-1816357.3371610285,-104111.55650954961,1718037,201764,120107
194,06073,-1909551.1300263016,-290541.01894551399,2827366,39275,40167
195,06075,-2278539.5320211579,347799.6711194918,777885,95871,265218
196,06077,-2174329.7576572644,339491.04404318793,567885,50068,32243
197,06079,-2173670.3948458852,43957.51757177656,247839,11024,7856
198,06081,-2278455.6236220808,309033.99017948261,707820,147568,147212
199,06083,-2159994.0574825061,-42121.500577995532,399990,10423,20028
200,06085,-2230900.17741493,273472.72681694198,1684947,100052,218784
201,06087,-2262115.1087734061,261681.64422783023,255835,32934,14302
202,06089,-2153058.6327405865,662592.77848618221,163615,4754,4197
203,06091,-2063669.0094549952,500873.68775739241,3574,591,294
204,06093,-2167650.1852720869,763285.67687657196,44218,1032,1311
205,06095,-2219534.03257854,391064.99432478088,396974,75065,24146
206,06097,-2291007.2798083317,441500.25105283939,460421,40317,15908
207,06099,-2162269.1872259462,292654.47820815881,449471,35589,19425
208,06101,-2176855.8285376346,468050.90753847413,79192,13286,7154
209,06103,-2188096.3734460394,598266.33255744656,56170,4898,3466
210,06105,-2242985.9377027811,675070.73839709861,12980,733,364
211,06107,-2011631.5463678376,99069.738780971864,368627,15305,11309
